State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_x0020_Price,Max_x0020_Price,Modal_x0020_Price
"Andhra Pradesh",Chittor,Chittoor,Gur(Jaggery),"NO 2",FAQ,26/04/2025,3400,3600,3500
"Andhra Pradesh",Chittor,Kalikiri,Tomato,Hybrid,FAQ,26/04/2025,830,1000,960
"Andhra Pradesh",Chittor,Madanapalli,Tomato,Local,FAQ,26/04/2025,900,1100,1000
"Andhra Pradesh",Chittor,Madanapalli,Tomato,Other,FAQ,26/04/2025,600,800,700
"Andhra Pradesh",Chittor,Palamaner,Brinjal,Brinjal,FAQ,26/04/2025,1000,2000,1500
"Andhra Pradesh",Chittor,Palamaner,Cabbage,Cabbage,FAQ,26/04/2025,300,500,400
"Andhra Pradesh",Chittor,Tirupati,Banana,Bhushavali(Pacha),Small,26/04/2025,8000,10000,9000
"Andhra Pradesh","East Godavari",Jaggampet,Paddy(Dhan)(Common),Common,FAQ,26/04/2025,2300,2350,2320
"Andhra Pradesh",Guntur,Pidugurala(Palnadu),"Dry Chillies",Red,FAQ,26/04/2025,8000,12300,11000
"Andhra Pradesh",Krishna,Tiruvuru,Rice,Fine,FAQ,26/04/2025,4500,4700,4600
"Andhra Pradesh",Kurnool,Adoni,Cotton,Bunny,FAQ,26/04/2025,4106,8229,8159
"Andhra Pradesh",Kurnool,Nandyal,Jowar(Sorghum),"Jowar (Yellow)",FAQ,26/04/2025,3400,3400,3400
"Andhra Pradesh",Kurnool,Nandyal,Maize,"Deshi Red",FAQ,26/04/2025,2225,2225,2225
"Andhra Pradesh",Visakhapatnam,Chintapally,Turmeric,Finger,FAQ,26/04/2025,8500,9500,9000
Bihar,Bhojpur,Aarah,Potato,Jyoti,FAQ,26/04/2025,1500,1700,1600
Chandigarh,Chandigarh,Chandigarh(Grain/Fruit),Ginger(Green),Other,FAQ,26/04/2025,3000,4000,3500
Gujarat,Ahmedabad,Ahmedabad,Beetroot,Other,FAQ,26/04/2025,600,1000,850
Gujarat,Ahmedabad,Ahmedabad,"Bottle gourd",Other,FAQ,26/04/2025,600,2500,1450
Gujarat,Ahmedabad,Ahmedabad,Carrot,Other,FAQ,26/04/2025,1000,1750,1450
Gujarat,Ahmedabad,Ahmedabad,Ginger(Green),Other,FAQ,26/04/2025,2500,3200,3100
Gujarat,Ahmedabad,Ahmedabad,"Peas Wet",Other,FAQ,26/04/2025,5500,6500,6000
Gujarat,Ahmedabad,Sanad,Wheat,Sharbati,FAQ,26/04/2025,2426,2780,2603
Gujarat,Ahmedabad,Viramgam,Paddy(Dhan)(Common),Other,Non-FAQ,26/04/2025,1645,2190,1920
Gujarat,Amreli,Amreli,"Cummin Seed(Jeera)","Cummin Seed(Jeera)",FAQ,26/04/2025,13000,21050,20550
